CrossRoad -4715.0:4735.0
CrossRoad 3670.0:4735.0
CrossRoad 3670.0:-4805.0
CrossRoad 295.0:3100.0
CrossRoad 3670.0:3100.0
CrossRoad 2125.0:3100.0
FourLaneRoad 325.0:3100.0 2095.0:3100.0
FourLaneRoad 2155.0:3100.0 3640.0:3100.0
FourLaneRoad 2125.0:3820.0 2125.0:3130.0
CrossRoad 2125.0:3850.0
CrossRoad 3670.0:3850.0
FourLaneRoad 3670.0:4705.0 3670.0:3880.0
FourLaneRoad 3670.0:3820.0 3670.0:3130.0
CrossRoad 295.0:-755.0
FourLaneRoad 295.0:3070.0 295.0:-725.0
CrossRoad -4715.0:-755.0
FourLaneRoad 265.0:-755.0 -4685.0:-755.0
CrossRoad 835.0:-4805.0
FourLaneRoad 3640.0:-4805.0 865.0:-4805.0
CrossRoad 835.0:-755.0
FourLaneRoad 805.0:-755.0 325.0:-755.0
FourLaneRoad 865.0:-755.0 3640.0:-755.0
CrossRoad 3670.0:-755.0
FourLaneRoad 3670.0:3070.0 3670.0:-725.0
CrossRoad 3235.0:3850.0
FourLaneRoad 2155.0:3850.0 3205.0:3850.0
FourLaneRoad 3265.0:3850.0 3640.0:3850.0
FourLaneRoad 3235.0:3880.0 3235.0:4705.0
CrossRoad 3235.0:4735.0
FourLaneRoad 3265.0:4735.0 3640.0:4735.0
CrossRoad -185.0:3100.0
FourLaneRoad 265.0:3100.0 -155.0:3100.0
FourLaneRoad -185.0:3130.0 -185.0:4705.0
CrossRoad -185.0:4735.0
FourLaneRoad -4685.0:4735.0 -215.0:4735.0
FourLaneRoad -155.0:4735.0 3205.0:4735.0
CrossRoad 835.0:-4475.0
FourLaneRoad 835.0:-4775.0 835.0:-4505.0
FourLaneRoad 805.0:-4475.0 -890.0:-4475.0
CrossRoad -920.0:-4475.0
FourLaneRoad -920.0:-4445.0 -920.0:-4280.0
CrossRoad -920.0:-4250.0
FourLaneRoad -920.0:-4220.0 -920.0:-4055.0
CrossRoad -920.0:-4025.0
FourLaneRoad -890.0:-4025.0 805.0:-4025.0
CrossRoad 835.0:-4025.0
FourLaneRoad 835.0:-4445.0 835.0:-4055.0
FourLaneRoad -950.0:-4250.0 -4685.0:-4250.0
CrossRoad -4715.0:-4250.0
FourLaneRoad -4715.0:-4220.0 -4715.0:-785.0
FourLaneRoad -215.0:3100.0 -4685.0:3100.0
CrossRoad -4715.0:3100.0
FourLaneRoad -4715.0:-725.0 -4715.0:3070.0
FourLaneRoad -4715.0:3130.0 -4715.0:4705.0
CrossRoad 835.0:-3800.0
FourLaneRoad 835.0:-3995.0 835.0:-3830.0
CrossRoad 835.0:-3185.0
FourLaneRoad 835.0:-3770.0 835.0:-3215.0
FourLaneRoad 835.0:-3155.0 835.0:-785.0
FourLaneRoad 865.0:-3185.0 3640.0:-3185.0
FourLaneRoad 865.0:-3800.0 3640.0:-3800.0
CrossRoad 3670.0:-3800.0
FourLaneRoad 3670.0:-3830.0 3670.0:-4775.0
CrossRoad 3670.0:-3185.0
FourLaneRoad 3670.0:-785.0 3670.0:-3155.0
FourLaneRoad 3670.0:-3215.0 3670.0:-3770.0
NetworkPoint 820.0:-3260.0 -> 820.0:-3305.0
NetworkPoint 3655.0:2755.0 -> 3655.0:2710.0
NetworkPoint 3685.0:1525.0 -> 3685.0:1570.0
NetworkPoint 1540.0:-3200.0 -> 1585.0:-3200.0
NetworkPoint 1480.0:-740.0 -> 1435.0:-740.0
NetworkPoint 3655.0:-3875.0 -> 3655.0:-3920.0
NetworkPoint -4730.0:-4070.0 -> -4730.0:-4115.0
NetworkPoint -4700.0:4255.0 -> -4700.0:4300.0
NetworkPoint 835.0:4720.0 -> 880.0:4720.0
NetworkPoint 850.0:-2525.0 -> 850.0:-2480.0
NetworkPoint -1385.0:3115.0 -> -1430.0:3115.0
NetworkPoint -4730.0:4525.0 -> -4730.0:4480.0
NetworkPoint 2830.0:3115.0 -> 2785.0:3115.0
NetworkPoint 3655.0:-2000.0 -> 3655.0:-2045.0
NetworkPoint 3685.0:-3230.0 -> 3685.0:-3215.0
NetworkPoint 1465.0:4720.0 -> 1510.0:4720.0
NetworkPoint -4730.0:-1325.0 -> -4730.0:-1370.0
NetworkPoint -4700.0:-2555.0 -> -4700.0:-2510.0
NetworkPoint 3010.0:-3170.0 -> 2965.0:-3170.0
NetworkPoint -500.0:3085.0 -> -455.0:3085.0
NetworkPoint 3685.0:3445.0 -> 3685.0:3490.0
NetworkPoint 3415.0:3085.0 -> 3460.0:3085.0
NetworkPoint -1535.0:-4265.0 -> -1490.0:-4265.0
NetworkPoint -4730.0:-4205.0 -> -4730.0:-4220.0
NetworkPoint 415.0:4750.0 -> 370.0:4750.0
NetworkPoint -4700.0:2290.0 -> -4700.0:2335.0
NetworkPoint 3685.0:-4235.0 -> 3685.0:-4190.0
NetworkPoint 2695.0:-3785.0 -> 2650.0:-3785.0
NetworkPoint -710.0:-4490.0 -> -665.0:-4490.0
NetworkPoint 3160.0:-770.0 -> 3205.0:-770.0
NetworkPoint -200.0:3130.0 -> 
NetworkPoint -3500.0:4750.0 -> -3545.0:4750.0
NetworkPoint 280.0:730.0 -> 280.0:685.0
NetworkPoint 310.0:-500.0 -> 310.0:-455.0
NetworkPoint 310.0:2425.0 -> 310.0:2470.0
NetworkPoint -4700.0:-2465.0 -> -4700.0:-2420.0
NetworkPoint -4730.0:-1235.0 -> -4730.0:-1280.0
NetworkPoint -3875.0:4720.0 -> -3830.0:4720.0
NetworkPoint -905.0:-4175.0 -> -905.0:-4130.0
NetworkPoint -1355.0:4720.0 -> -1310.0:4720.0
NetworkPoint 2170.0:-3200.0 -> 2215.0:-3200.0
NetworkPoint 2110.0:-740.0 -> 2065.0:-740.0
NetworkPoint 3610.0:-4820.0 -> 3640.0:-4820.0
NetworkPoint 3655.0:-3920.0 -> 3655.0:-3965.0
NetworkPoint 310.0:-455.0 -> 310.0:-410.0
NetworkPoint 280.0:775.0 -> 280.0:730.0
NetworkPoint -3065.0:-740.0 -> -3110.0:-740.0
NetworkPoint -4730.0:4480.0 -> -4730.0:4435.0
NetworkPoint 3490.0:4720.0 -> 3535.0:4720.0
NetworkPoint 3655.0:-2045.0 -> 3655.0:-2090.0
